Run name,Collab pairs,Status ok ratio,Non-ok ratio,Fused ratio,Skipped ratio,Selected for blur ratio,Blurred ratio,Mean cov trace,Median cov trace,p95 cov trace all,p95 cov trace ok-only,Mean mask IoU after warp,Median mask IoU after warp,Mean mask IoU after warp ok-only,Median mask IoU after warp ok-only,AP@0.3,AP@0.5,AP@0.7
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_10p0__xyz0p5__ryp10__seed20,1006,0.7922465208747514,0.20775347912524855,0.7922465208747514,0.2077534791252485,0.6302186878727635,0.6302186878727635,89.92347262374628,50.01000213623047,290.90564727783203,375.5115661621093,0.011618736688099192,0.0,0.011446996823975418,0.0,0.6132796326409264,0.6024702857193753,0.5507130005162079
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_10p0__xyz0p5__ryp10__seed28,1006,0.889662027833002,0.11033797216699803,0.889662027833002,0.110337972166998,0.08648111332007952,0.08648111332007952,11.834844486987354,1.4016152024269104,50.01000213623047,19.213220214843744,0.1799021370002981,0.18044171220400723,0.19567582045113352,0.1935483870967742,0.8154679621051498,0.751282537666862,0.5863250171140062
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_10p0__xyz0p5__ryp10__seed42,1006,0.8618290258449304,0.13817097415506963,0.8618290258449304,0.13817097415506957,0.19582504970178927,0.19582504970178927,21.35427483692363,4.575188398361206,57.526333808898926,63.01972312927236,0.052541136329711254,0.03125,0.057157880432705,0.036144578313253,0.6473042907492705,0.6267746567907202,0.5628784281766412
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_14p0__xyz0p5__ryp14__seed20,1006,0.709741550695825,0.290258449304175,0.709741550695825,0.29025844930417494,0.6540755467196819,0.6540755467196819,224.20596876592333,52.613752365112305,636.0675659179688,725.9333099365235,0.00922437485662122,0.0,0.006801329562225657,0.0,0.6302952393120763,0.6220078263330785,0.5675415512308473
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_14p0__xyz0p5__ryp14__seed28,1006,0.8866799204771372,0.11332007952286283,0.8866799204771372,0.11332007952286283,0.06660039761431412,0.06660039761431412,10.002626130489753,1.5922647714614868,50.01000213623047,14.697958374023406,0.1477399730969238,0.1470588235294117,0.16212634482995375,0.1570838252656434,0.7896242227231186,0.7045931122592154,0.552638627831231
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_14p0__xyz0p5__ryp14__seed42,1006,0.8697813121272365,0.13021868787276347,0.8697813121272365,0.13021868787276342,0.2783300198807157,0.2783300198807157,24.369912923833958,6.48225474357605,90.89377975463869,97.58619308471678,0.03485332234792857,0.0192307692307692,0.036984630890822226,0.021505376344086,0.6257974570475323,0.6128318783240515,0.560604035723765
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_18p0__xyz0p5__ryp18__seed20,1006,0.5497017892644135,0.4502982107355865,0.5497017892644135,0.45029821073558646,0.5198807157057654,0.5198807157057654,242.7711232878105,50.01000213623047,910.7462005615234,1211.2286621093742,0.010688556162444659,0.0,0.005878518681656126,0.0,0.6454042351607192,0.6357196397752969,0.5769826904018206
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_18p0__xyz0p5__ryp18__seed28,1006,0.8886679920477137,0.11133200795228626,0.8886679920477137,0.11133200795228629,0.0874751491053678,0.0874751491053678,9.774834613656918,1.9805611968040466,50.01000213623047,18.378247642517078,0.12495011043085469,0.12018518518518514,0.13662765224827306,0.1304347826086956,0.7471428549516783,0.6710852637626242,0.5383860422462867
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_18p0__xyz0p5__ryp18__seed42,1006,0.8618290258449304,0.13817097415506963,0.8618290258449304,0.13817097415506957,0.3508946322067594,0.3508946322067594,36.219066421906824,9.46613073348999,122.63240051269531,137.49937896728497,0.019696190910106784,0.0106382978723404,0.020950137105038236,0.0119047619047619,0.6198000306702206,0.6064176965913529,0.5522682620219269
level2_status_skip_vertical_blur_bss0p05__pos_0p5_rot_1p0__xyz0p5__ryp1__seed20,1006,0.8886679920477137,0.11133200795228626,0.8886679920477137,0.11133200795228629,0.10834990059642147,0.10834990059642147,11.44117900629371,1.9319175481796265,50.01000213623047,25.88248043060297,0.12638030690312183,0.11342195540308744,0.1382181562403116,0.12613200620053844,0.7427443612548307,0.6853270939718457,0.5670618801440903
